iter	Passed	Remaining
1206	280673	184402
1207	280881	184153
1208	281093	183908
1209	281239	183618
1210	281333	183296
1211	281455	182992
1212	281641	182730
1213	281788	182443
1214	281980	182184
1215	282133	181902
1216	282355	181663
1217	282470	181356
1218	282594	181055
1219	282707	180747
1220	282883	180480
1221	283103	180241
1222	283313	179995
1223	283464	179712
1224	283620	179433
1225	283709	179111
1226	283790	178785
1227	283871	178459
1228	283979	178151
1229	284249	177944
1230	284504	177728
1231	284701	177476
1232	284833	177183
1233	284952	176882
1234	285172	176645
1235	285310	176357
1236	285485	176091
1237	285612	175797
1238	285737	175501
1239	285859	175203
1240	285957	174892
1241	286064	174586
1242	286159	174274
1243	286258	173963
1244	286386	173671
1245	286599	173432
1246	286745	173150
1247	286916	172885
1248	287058	172602
1249	287219	172331
1250	287463	172110
1251	287610	171831
1252	287803	171579
1253	287951	171301
1254	288146	171051
1255	288254	170749
1256	288355	170444
1257	288498	170163
1258	288628	169876
1259	288732	169573
1260	288819	169260
1261	288990	168997
1262	289162	168735
1263	289360	168488
1264	289445	168175
1265	289535	167866
1266	289606	167546
1267	289754	167271
1268	289948	167023
1269	290142	166774
1270	290407	166567
1271	290626	166333
1272	290809	166078
1273	290988	165822
1274	291125	165541
1275	291305	165286
1276	291489	165032
1277	291629	164754
1278	291810	164499
1279	291938	164215
1280	292091	163945
1281	292255	163681
1282	292416	163415
1283	292571	163147
1284	292775	162906
1285	292893	162617
1286	292980	162311
1287	293098	162023
1288	293307	161785
1289	293414	161491
1290	293614	161249
1291	293776	160985
1292	293957	160732
1293	294079	160448
1294	294195	160160
1295	294355	159896
1296	294463	159604
1297	294628	159344
1298	294703	159035
1299	294782	158729
1300	294873	158429
1301	295027	158163
1302	295210	157913
1303	295343	157637
1304	295555	157403
1305	295734	157151
1306	295945	156916
1307	296262	156738
1308	296424	156477
1309	296566	156206
1310	296714	155939
1311	296882	155682
1312	297049	155424
1313	297151	155134
1314	297271	154852
1315	297312	154530
1316	297391	154227
1317	297674	154031
1318	297822	153765
1319	298002	153516
1320	298130	153240
1321	298275	152973
1322	298396	152693
1323	298543	152428
1324	298717	152176
1325	298894	151926
1326	299092	151687
1327	299223	151414
1328	299344	151136
1329	299547	150900
1330	299720	150648
1331	299845	150372
1332	299952	150088
1333	300032	149791
1334	300152	149514
1335	300337	149269
1336	300497	149012
1337	300646	148750
1338	300814	148497
1339	300983	148245
1340	301160	147997
1341	301382	147771
1342	301522	147506
1343	301621	147220
1344	301730	146939
1345	301894	146685
1346	302061	146433
1347	302227	146181
